TrackerID,FMSID,Title,Summary,CurrentPhase,DesignPercentComplete,ProcurementPercentComplete,ConstructionPercentComplete,DesignStart,DesignProjectedCompletion,DesignAdjustedCompletion,DesignActualCompletion,ProcurementStart,ProcurementProjectedCompletion,ProcurementAdjustedCompletion,ProcurementActualCompletion,ConstructionStart,ConstructionProjectedCompletion,ConstructionAdjustedCompletion,ConstructionActualCompletion,TotalFunding,ProjectLiaison,LastUpdated,FundingSource,name,ParkID,Latitude,Longitude,Borough
"7,401",846 P-3CPIBN9,Playground 103 and Langston Hughes Playground Reconstruction,This project will reconstruct Playground 103 and Langston Hughes Playground.,completed,100,100,100,12/01/2014 12:00:00 AM,12/01/2015 12:00:00 AM,,12/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,09/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,05/01/2018 12:00:00 AM,,05/01/2018 12:00:00 AM,"$9,428,000",Steve Simon,12/20/2021 12:00:00 AM,"Mayoral, Federal","Adam Clayton Powell, West 129-130 Streets",M211B,40.812314,-73.946486,Manhattan
"7,401",846 P-3CPIBN9,Playground 103 and Langston Hughes Playground Reconstruction,This project will reconstruct Playground 103 and Langston Hughes Playground.,completed,100,100,100,12/01/2014 12:00:00 AM,12/01/2015 12:00:00 AM,,12/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,09/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,10/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,05/01/2018 12:00:00 AM,,05/01/2018 12:00:00 AM,"$9,428,000",Steve Simon,12/20/2021 12:00:00 AM,"Mayoral, Federal",East 102 Street & FDR Drive,M108G,40.787209,-73.939013,Manhattan
"4,350",846 P-413LPL2,Laurelton West Playground Reconstruction,This project will reconstruct Laurelton West Playground located on 238th Street between 120th Avenue and 121st Avenue.,completed,100,100,100,07/01/2009 12:00:00 AM,,,08/01/2011 12:00:00 AM,08/01/2011 12:00:00 AM,05/01/2012 12:00:00 AM,,03/01/2013 12:00:00 AM,06/01/2013 12:00:00 AM,06/01/2014 12:00:00 AM,06/01/2014 12:00:00 AM,06/01/2014 12:00:00 AM,"$1,222,000",Joanne Amagrande,12/20/2021 12:00:00 AM,Borough President,,Q027,40.67540778,-73.73237222,Queens
"9,552",846 P-413LPCT,Laurelton Playground Reconstruction,This project will reconstruct Laurelton Playground.,design,50,0,0,10/01/2020 12:00:00 AM,01/01/2022 12:00:00 AM,,,,,,,,,,,Between $3 million and $5 million,Joanne Amagrande,12/20/2021 12:00:00 AM,City Council,Brookville Blvd between 136th and 138th Avenues,Q108,40.670539791013,-73.736140854252,Queens
"1,693",846 P-210DBCS,Leif Ericson Park Comfort Station Construction,This project will construct a comfort station in Leif Ericson Park.,completed,100,100,100,07/01/2010 12:00:00 AM,05/01/2013 12:00:00 AM,,04/01/2013 12:00:00 AM,04/01/2013 12:00:00 AM,01/01/2014 12:00:00 AM,,09/01/2013 12:00:00 AM,11/01/2013 12:00:00 AM,03/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,"$1,457,000",Davey Ives,12/20/2021 12:00:00 AM,"Borough President, City Council","66th Street, 8th Avenue, 67th Street, 9th Avenue",B052,40.63081194,-74.01189528,Brooklyn
"1,022,111",846 SANDY5-41,Lemon Creek Park Timber Barrier Rail Reconstruction,This project will reconstruct timber barrier rail damaged from Hurricane Sandy at Lemon Creek Park.,completed,100,100,100,03/01/2015 12:00:00 AM,09/01/2015 12:00:00 AM,,08/01/2015 12:00:00 AM,02/01/2016 12:00:00 AM,07/01/2016 12:00:00 AM,,02/01/2016 12:00:00 AM,05/01/2016 12:00:00 AM,08/01/2016 12:00:00 AM,,08/01/2016 12:00:00 AM,"$87,000",Joseph Homsey,12/20/2021 12:00:00 AM,"Mayoral, Federal",,R079,40.512043,-74.197868,Staten Island
"9,356",846 SANDY5-43,Lemon Creek Marina Waterfront Reconstruction,This project will reconstruct the waterfront Parks infrastructure damaged by Hurricane Sandy at Lemon Creek Marina.,design,30,0,0,01/01/2020 12:00:00 AM,01/01/2022 12:00:00 AM,,,,,,,,,,,Greater than $10 million,Joseph Homsey,12/20/2021 12:00:00 AM,"Mayoral, Federal",Hylan Boulevard & Seguine Avenue,R079,40.513435,-74.199973,Staten Island
"10,111",,Lemon Creek Park Playground Reconstruction,This project will reconstruct the playground in Lemon Creek Park.,proposed,0,0,0,,,,,,,,,,,,,Between $1 million and $3 million,Joseph Homsey,12/20/2021 12:00:00 AM,City Council,Seguine Avenue and Johnston Terrace,R079,40.513586,-74.199786,Staten Island
"7,035",846 P-5CPILEV,Levy Playground Reconstruction,"This project will reconstruct Levy Playground with a new basketball court, play equipment, safety surfacing, interactive water features and landscaping.",completed,100,100,100,12/01/2014 12:00:00 AM,12/01/2015 12:00:00 AM,,12/01/2015 12:00:00 AM,12/01/2015 12:00:00 AM,09/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,11/01/2016 12:00:00 AM,05/01/2018 12:00:00 AM,,05/01/2018 12:00:00 AM,"$1,988,000",Joseph Homsey,12/20/2021 12:00:00 AM,Mayoral,Jewett Avenue and Castleton Avenue,R033,40.63391417,-74.12893861,Staten Island
"8,839",846 P-2CPILWS,Lewis Playground Reconstruction,This project will reconstruct Lewis Playground.,procurement,100,60,0,10/01/2017 12:00:00 AM,10/01/2018 12:00:00 AM,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,08/01/2020 12:00:00 AM,05/01/2021 12:00:00 AM,03/01/2022 12:00:00 AM,,,,,,Less than $1 million,Davey Ives,12/20/2021 12:00:00 AM,Mayoral,Willoughby Avenue between Lewis Avenue and Marcus Garvey Boulevard,B430,40.695451,-73.937892,Brooklyn
